127.0.0.1 - - [13/Mar/2023:19:13:12 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:04:26 +0900] "GET /day04/img.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:54 +0900] "GET /day04/task.html HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:47:54 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:48:27 +0900] "GET /day04/task.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:48:27 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:57:47 +0900] "GET /day04/form.html HTTP/1.1" 200 3684
0:0:0:0:0:0:0:1 - - [13/Mar/2023:20:57:47 +0900] "GET /day04/subscribe.png HTTP/1.1" 404 830
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:02:06 +0900] "GET /day04/task.html HTTP/1.1" 200 336
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:03:56 +0900] "GET /day04/task.html HTTP/1.1" 200 428
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:05:14 +0900] "GET /day04/task.html HTTP/1.1" 200 457
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:09:37 +0900] "GET /day04/task.html HTTP/1.1" 200 528
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:12:27 +0900] "GET /day04/task.html HTTP/1.1" 200 595
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:15:56 +0900] "GET /day04/task.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:16:25 +0900] "GET /day04/task.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:16:37 +0900] "GET /day04/task.html HTTP/1.1" 200 657
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:21:44 +0900] "GET /day04/task.html HTTP/1.1" 200 695
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:24:31 +0900] "GET /day04/task.html HTTP/1.1" 200 823
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:28:27 +0900] "GET /day04/task.html HTTP/1.1" 200 1011
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:33:36 +0900] "GET /day04/task.html HTTP/1.1" 200 1636
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:35:23 +0900] "GET /day04/task.html HTTP/1.1" 200 1745
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:38:08 +0900] "GET /day04/task.html HTTP/1.1" 200 1791
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:42:17 +0900] "GET /day04/task.html HTTP/1.1" 200 2013
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:44:51 +0900] "GET /day04/task.html HTTP/1.1" 200 2078
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:45:54 +0900] "GET /day04/task.html HTTP/1.1" 200 2119
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:47:21 +0900] "GET /day04/task.html HTTP/1.1" 200 2196
0:0:0:0:0:0:0:1 - - [13/Mar/2023:21:49:18 +0900] "GET /day04/task.html HTTP/1.1" 200 2267
